pff_PLAYID,pff_GAMEID,pff_GAMEDATE,pff_GAMESEASON,pff_WEEK,pff_GSISGAMEKEY,pff_GSISPLAYID,pff_QUARTER,pff_DOWN,pff_CLOCK,pff_BLITZDOG,pff_CATCHABLE,pff_DEEPPASS,pff_DEFSCORE,pff_DRAW,pff_DRIVE,pff_DRIVEPLAY,pff_GAINLOSS,pff_GARBAGETIME,pff_FIRST_DOWN_GAINED,pff_GETOFFTIME,pff_KICKYARDS,pff_NOHUDDLE,pff_NOPLAY,pff_OFFFORMATIONUNBALANCED,pff_OFFSCORE,pff_OPTION,pff_PENALTYYARDS,pff_PLAYACTION,pff_PREVIOUSPFFPLAYID,pff_NEXTPFFPLAYID,pff_RETURNYARDS,pff_SCORE,pff_SCREEN,pff_SNAPTIME,pff_SORTORDER,pff_STUNT,pff_TIMETOPRESSURE,pff_TIMETOTHROW,pff_TRICKLOOK,pff_TRICKPLAY,pff_YARDSAFTERCATCH,pff_YARDSAFTERCONTACT,pff_2MINUTE,pff_3MINUTE,pff_BALLCARRIER,pff_BOXPLAYERS,pff_BUNCHED,pff_CENTERPASSBLOCKDIRECTION,pff_CHECKROUTE,pff_CHIPROUTE,pff_DBDEPTH,pff_DEFFRONT,pff_DEFPERSONNEL,pff_DEFPLAYERS,pff_DEFPLAYERSRATINGS,pff_DEFSUBSTITUTIONS,pff_DEFSUCCESS,pff_DEFTEAM,pff_DISTANCE,pff_DLDROP,pff_DLTECHNIQUES,pff_DOUBLETEAM,pff_DRIVEENDEVENT,pff_DRIVEENDFIELDPOSITION,pff_DRIVEENDPLAYNUMBER,pff_DRIVESTARTEVENT,pff_DRIVESTARTFIELDPOSITION,pff_DROPBACKDEPTH,pff_DROPBACKTYPE,pff_FIELDPOSITION,pff_FIRSTCONTACT,pff_FORCEDFUMBLE,pff_FUMBLE,pff_FUMBLERECOVERY,pff_GAINLOSSNET,pff_GUNNERS,pff_HANGTIME,pff_HASH,pff_HASHDEF,pff_HIT,pff_HURRY,pff_INCOMPLETIONTYPE,pff_INJURED,pff_INTERCEPTION,pff_KEYPLAYERS,pff_KICKCONTACT,pff_KICKDEPTH,pff_KICKDIRACTUAL,pff_KICKDIRINTENDED,pff_KICKER,pff_KICKRESULT,pff_KICKTYPE,pff_KICKWIDTH,pff_KICKZONE,pff_LBDEPTH,pff_MISSEDTACKLE,pff_MOFOCPLAYED,pff_MOFOCSHOWN,pff_NEGATIVEPFFGRADE,pff_OFFFORMATION,pff_OFFFORMATIONGROUP,pff_OFFODDITIES,pff_OFFPERSONNEL,pff_OFFPERSONNELBASIC,pff_OFFPERSONNELSKILL,pff_OFFPLAYERS,pff_OFFPLAYERSRATINGS,pff_OFFSUBSTITUTIONS,pff_OFFSUCCESS,pff_OFFTEAM,pff_ONLOS,pff_OPERATIONTIME,pff_PASSBLOCKING,pff_PASSBREAKUP,pff_PASSCOVERAGE,pff_PASSCOVERAGE1,pff_PASSCOVERAGE2,pff_PASSCOVERAGEPLAYERS,pff_PASSDEPTH,pff_PASSDIRECTION,pff_PASSER,pff_PASSPATTERN,pff_PASSPATTERNBASIC,pff_PASSPATTERNBYPLAYER,pff_PASSRECEIVERPOSITIONTARGET,pff_PASSRECEIVERTARGET,pff_PASSRESULT,pff_PASSROUTETARGET,pff_PASSROUTETARGETGROUP,pff_PASSRUSHPLAYERS,pff_PASSRUSHRESULT,pff_PASSWIDTH,pff_PASSZONE,pff_PENALTY,pff_PISTOL,pff_PLAYACTIONFAKE,pff_PLAYENDFIELDPOSITION,pff_POAACTUAL,pff_POACHANGEREASON,pff_POAINTENDED,pff_POSITIVEPFFGRADE,pff_PRESS,pff_PRESSUREDETAIL,pff_PUMPFAKE,pff_PUNTRUSH,pff_PURSUIT,pff_QB,pff_QBMOVEDOFFSPOT,pff_QBPRESSURE,pff_QBPRESSUREALLOWED,pff_QBRESET,pff_QBSCRAMBLE,pff_RBALIGNMENT,pff_RBDEPTH,pff_RBDIRECTION,pff_RBSINBACKFIELD,pff_RETDIRECTIONINTENDED,pff_RETURNDIRECTION,pff_RETURNER,pff_RUNCONCEPTPRIMARY,pff_RUNCONCEPTSECONDARY,pff_RUNPASS,pff_SACK,pff_SCOREDIFFERENTIAL,pff_SHIFTMOTION,pff_SHOTGUN,pff_SPECIALTEAMSTYPE,pff_STOP,pff_STSAFETIES,pff_TACKLE,pff_TACKLEASSIST,pff_TEALIGNMENT,pff_TOUCHDOWN,pff_UNBLOCKEDPRESSURE,pff_VISE,pff_WRALIGNMENT,pff_CONTESTED,pff_RUNPASSOPTION,pff_PLAYCLOCK,pff_HAIL_MARY,pff_BUSTED_COVERAGE,pff_TURNOVER,pff_NON_TACKLE_TYPE,pff_TEMPO,pff_DEF_TIMEOUTS_REMAINING,pff_OFF_TIMEOUTS_REMAINING,pff_EXPECTED_POINTS,pff_EXPECTED_POINTS_ADDED,pff_ROUTE_THROWN,pff_SIDELINE_CHECK,pff_OFF_PERSONNEL_GROUP,pff_RBS_ON_FIELD,pff_TES_ON_FIELD,pff_WRS_ON_FIELD,pff_BACKSET,pff_OFFENSIVE_FORMATION_NAME,pff_STARTING_OFFENSIVE_FORMATION,pff_STARTING_OFFENSIVE_FORMATION_GROUP,pff_STARTING_OFFENSIVE_FORMATION_NAME,pff_DEF_PACKAGE,pff_DBS_ON_FIELD,pff_LBS_ON_FIELD,pff_DLS_ON_FIELD,pff_DEFENSIVE_FRONT_NAME,pff_MUG_LOOK,pff_PASS_COVERAGE_BASIC,pff_KICKOFF_RETURN_CONCEPT,pff_YARDS_TO_GOAL_LINE,pff_FGOPTIME,pff_EXPECTED_POINTS_LEGACY,pff_EXPECTED_POINTS_ADDED_LEGACY,pff_TEAMWORKS_PLAY_ID,pff_DRIVEID
7067918,31030,2026-09-05,2026,01,411418,41,1,0,15:00,0,,0,0,0,,,72,0,,,72,0,0,0,0,0,,0,,7067934,,0.00,0,,1,0,,,0,0,,,0,0,,,,,,,,5-5,,FLUN D02 (R5); FLUN D06 (R2); FLUN D09 (L3); FLUN D12 (L1); FLUN D22 (R3); FLUN D29 (L5); FLUN D30 (L4); FLUN D37 (L2); FLUN D43 (R1); FLUN D44 (R4); FLUN S91 (PK),FLUN D02 (0.0); FLUN D06 (0.0); FLUN D09 (0.0); FLUN D12 (0.0); FLUN D22 (0.0); FLUN D29 (0.0); FLUN D30 (0.0); FLUN D37 (0.0); FLUN D43 (0.0); FLUN D44 (0.0); FLUN S91 (+0.5),,,FLUN,0,,,FLAT 06 (RF1); FLAT D28 (RF2); FLUN D30 (L4),,,,,,,,-35,,,,,40,,3.87,R,L,,,,,,FLUN S91 (PK),DEZ,72,C,C,FLUN S91,TOUCHBACK,D,32,4,,,,,,,6-0-3,,,,,FLAT 03 (LF1); FLAT 05 (KFB-R); FLAT 06 (RF1); FLAT 09 (KR-L); FLAT 11 (LF3); FLAT D09 (RB); FLAT D10 (LB); FLAT D17 (MB); FLAT D28 (RF2); FLAT D35 (LF2); FLAT D43 (RF3),FLAT 03 (0.0); FLAT 05 (0.0); FLAT 06 (0.0); FLAT 09 (0.0); FLAT 11 (0.0); FLAT D09 (0.0); FLAT D10 (0.0); FLAT D17 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D43 (0.0),,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLUN S91,,,0,,,,0,,,0,,,,,,,,FLAT 09,,,,,0,,,KICKOFF,,2; FLUN D12 (L1); FLUN D43 (R1),,,,,,,,,0,7,0,0,0,,false,3,3,-1.2,1.439,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31030_7067918,
7068725,31030,2026-09-05,2026,01,411418,567,1,0,08:41,0,,0,7,0,,,72,0,,,72,0,0,0,0,0,,0,7068430,7068793,,7.00,0,,21,0,,,0,0,,,0,0,,,,,,,,5-5,,FLUN D02 (L5); FLUN D06 (R1); FLUN D09 (L4); FLUN D12 (L2); FLUN D16 (R5); FLUN D22 (R4); FLUN D30 (L3); FLUN D37 (L1); FLUN D43 (R2); FLUN D44 (R3); FLUN S91 (PK),FLUN D02 (0.0); FLUN D06 (0.0); FLUN D09 (0.0); FLUN D12 (0.0); FLUN D16 (0.0); FLUN D22 (0.0); FLUN D30 (0.0); FLUN D37 (0.0); FLUN D43 (0.0); FLUN D44 (0.0); FLUN S91 (0.0),,,FLUN,0,,,FLAT 06 (RF1); FLAT D28 (RF2); FLUN D30 (L3),,,,,,,,-35,,,,,40,,4.25,R,L,,,,,,,DEZ,72,C,C,FLUN S91,TOUCHBACK,D,29,4,,,,,,,6-0-3,,,,,FLAT 03 (LF1); FLAT 05 (KFB-R); FLAT 06 (RF1); FLAT 09 (KR-L); FLAT 11 (LF3); FLAT D09 (RB); FLAT D10 (LB); FLAT D17 (MB); FLAT D28 (RF2); FLAT D35 (LF2); FLAT D43 (RF3),FLAT 03 (0.0); FLAT 05 (0.0); FLAT 06 (0.0); FLAT 09 (0.0); FLAT 11 (0.0); FLAT D09 (0.0); FLAT D10 (0.0); FLAT D17 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D43 (0.0),,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,,,,0,,,,0,,,0,,,,,,,,FLAT 09,,,,,-7,,,KICKOFF,,2; FLUN D06 (R1); FLUN D12 (L2),,,,,,,,,0,,0,0,0,,false,3,3,-1.2,1.46,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31030_7068725,
7069877,31030,2026-09-05,2026,01,411418,847,1,0,06:28,0,,0,14,0,,,73,0,,,73,0,0,0,0,0,,0,7069575,7069944,,14.00,0,,32,0,,,0,0,,,0,0,,,,,,,,5-5,,FLUN D02 (L5); FLUN D06 (R1); FLUN D09 (L4); FLUN D12 (L2); FLUN D16 (R5); FLUN D22 (R4); FLUN D30 (L3); FLUN D37 (L1); FLUN D43 (R2); FLUN D44 (R3); FLUN S91 (PK),FLUN D02 (0.0); FLUN D06 (0.0); FLUN D09 (0.0); FLUN D12 (0.0); FLUN D16 (0.0); FLUN D22 (0.0); FLUN D30 (0.0); FLUN D37 (0.0); FLUN D43 (0.0); FLUN D44 (0.0); FLUN S91 (+0.5),,,FLUN,0,,,,,,,,,,,-35,,,,,40,,4.22,R,L,,,,,,FLUN S91 (PK),DEZ,73,R,R,FLUN S91,TOUCHBACK,D,35,5R,,,,,,,6-0-3,,,,,FLAT 03 (LF1); FLAT 05 (KFB-R); FLAT 06 (RF1); FLAT 09 (KR-L); FLAT 26 (LF3); FLAT D09 (RB); FLAT D10 (LB); FLAT D17 (MB); FLAT D28 (RF2); FLAT D35 (LF2); FLAT D43 (RF3),FLAT 03 (0.0); FLAT 05 (0.0); FLAT 06 (0.0); FLAT 09 (0.0); FLAT 26 (0.0); FLAT D09 (0.0); FLAT D10 (0.0); FLAT D17 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D43 (0.0),,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLUN S91,,,0,,,,0,,,0,,,,,,,,FLAT 09,,,,,-14,,,KICKOFF,,2; FLUN D06 (R1); FLUN D37 (L1),,,,,,,,,0,7,0,0,0,,false,3,3,-1.2,1.471,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31030_7069877,
7070879,31030,2026-09-05,2026,01,411418,1217,1,0,02:06,0,,0,17,0,,,73,0,,,73,0,0,0,0,0,,0,7070431,7070891,,17.00,0,,46,0,,,0,0,,,0,0,,,,,,,,5-5,,FLUN D02 (L5); FLUN D06 (R1); FLUN D09 (L4); FLUN D12 (L2); FLUN D16 (R5); FLUN D22 (R4); FLUN D30 (L3); FLUN D37 (L1); FLUN D43 (R2); FLUN D44 (R3); FLUN S91 (PK),FLUN D02 (0.0); FLUN D06 (0.0); FLUN D09 (0.0); FLUN D12 (0.0); FLUN D16 (0.0); FLUN D22 (0.0); FLUN D30 (0.0); FLUN D37 (0.0); FLUN D43 (0.0); FLUN D44 (0.0); FLUN S91 (+0.5),,,FLUN,0,,,,,,,,,,,-35,,,,,40,,4.23,R,L,,,,,,FLUN S91 (PK),DEZ,73,C,R,FLUN S91,TOUCHBACK,D,32,4,,,,,,,6-0-3,,,,,FLAT 03 (LF1); FLAT 05 (KFB-R); FLAT 06 (RF1); FLAT 09 (KR-L); FLAT 26 (LF3); FLAT D09 (RB); FLAT D10 (LB); FLAT D17 (MB); FLAT D28 (RF2); FLAT D35 (LF2); FLAT D43 (RF3),FLAT 03 (0.0); FLAT 05 (0.0); FLAT 06 (0.0); FLAT 09 (0.0); FLAT 26 (0.0); FLAT D09 (0.0); FLAT D10 (0.0); FLAT D17 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D43 (0.0),,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLUN S91,,,0,,,,0,,,0,,,,,,,,FLAT 09,,,,,-17,,,KICKOFF,,2; FLUN D06 (R1); FLUN D12 (L2),,,,,,,,,0,,0,0,0,,false,3,3,-1.2,1.414,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31030_7070879,
7072048,31030,2026-09-05,2026,01,411418,1798,2,0,11:02,0,,0,24,0,,,64,0,,,64,0,0,0,7,0,,0,7071798,7072084,21,24.07,0,,69,0,,,0,0,,,0,0,FLAT 09,,,,,,,5-5,,FLUN D02 (L5); FLUN D06 (R1); FLUN D12 (L2); FLUN D16 (L4); FLUN D22 (R4); FLUN D29 (R5); FLUN D30 (L3); FLUN D37 (L1); FLUN D43 (R2); FLUN D44 (R3); FLUN S91 (PK),FLUN D02 (+0.5); FLUN D06 (0.0); FLUN D12 (0.0); FLUN D16 (0.0); FLUN D22 (+0.5); FLUN D29 (-0.5); FLUN D30 (0.0); FLUN D37 (0.0); FLUN D43 (0.0); FLUN D44 (0.0); FLUN S91 (-0.5),,,FLUN,0,,,FLAT 06 (RF1); FLAT D28 (RF2); FLUN D16 (L4),,,,,,,,-35,,,,,43,,2.22,R,L,,,,,,FLUN D02 (L5); FLUN D22 (R4); FLUN D29 (R5); FLUN S91 (PK); FLAT 26 (LF3); FLAT D09 (RB); FLAT D43 (RF3),BOG,58,C,C,FLUN S91,RETURNED,F,22,4,,,,,FLUN D29; FLUN S91; FLAT 26; FLAT D09,,6-0-3,,,,,FLAT 03 (LF1); FLAT 05 (KFB-R); FLAT 06 (RF1); FLAT 09 (KR-L); FLAT 26 (LF3); FLAT D09 (RB); FLAT D10 (LB); FLAT D17 (MB); FLAT D28 (RF2); FLAT D35 (LF2); FLAT D43 (RF3),FLAT 03 (0.0); FLAT 05 (0.0); FLAT 06 (0.0); FLAT 09 (0.0); FLAT 26 (-1.0); FLAT D09 (-0.5); FLAT D10 (0.0); FLAT D17 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D43 (+0.5),,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,+22,,,,FLUN D02; FLUN D22; FLAT D43,,,0,,,,0,,,0,,,,,,C,R,FLAT 09,,,,,-17,,,KICKOFF,,2; FLUN D12 (L2); FLUN D43 (R2),FLUN D22,,,,,,,,0,9,0,0,0,,false,1,3,-1.2,1.221,,false,,,,,,,,,,,,,,,,,D,65,,0.0,-0.012,31030_7072048,
7073566,31030,2026-09-05,2026,01,411418,2452,2,0,04:05,0,,0,31,0,,,75,0,,,75,0,0,0,14,0,,0,7073447,7073640,,31.14,0,,94,0,,,0,0,,,0,0,,,,,,,,5-5,,FLUN D02 (R5); FLUN D06 (R2); FLUN D09 (L3); FLUN D12 (L1); FLUN D22 (R3); FLUN D29 (L5); FLUN D30 (L4); FLUN D37 (L2); FLUN D43 (R1); FLUN D44 (R4); FLUN S91 (PK),FLUN D02 (0.0); FLUN D06 (0.0); FLUN D09 (0.0); FLUN D12 (0.0); FLUN D22 (0.0); FLUN D29 (0.0); FLUN D30 (0.0); FLUN D37 (0.0); FLUN D43 (0.0); FLUN D44 (0.0); FLUN S91 (+0.5),,,FLUN,0,,,,,,,,,,,-35,,,,,40,,4.06,R,L,,,,,,FLUN S91 (PK),DEZ,75,C,C,FLUN S91,TOUCHBACK,D,32,4,,,,,,,6-0-3,,,,,FLAT 03 (LF1); FLAT 05 (KFB-R); FLAT 06 (RF1); FLAT D03 (KR-L); FLAT D09 (RB); FLAT D10 (LB); FLAT D17 (MB); FLAT D21 (LF3); FLAT D28 (RF2); FLAT D35 (LF2); FLAT D43 (RF3),FLAT 03 (0.0); FLAT 05 (0.0); FLAT 06 (0.0); FLAT D03 (0.0); FLAT D09 (0.0); FLAT D10 (0.0); FLAT D17 (0.0); FLAT D21 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D43 (0.0),,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLUN S91,,,0,,,,0,,,0,,,,,,,,FLAT D03,,,,,-17,,,KICKOFF,,2; FLUN D12 (L1); FLUN D43 (R1),,,,,,,,,0,12,0,0,0,,false,1,3,-1.2,0.845,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31030_7073566,
7073920,31030,2026-09-05,2026,01,411418,2599,2,0,02:50,0,,0,38,0,,,74,0,,,74,0,0,0,14,0,,0,7073792,7073949,,38.14,0,,100,0,,,0,0,,,0,0,,,,,,,,5-5,,FLUN D02 (L5); FLUN D06 (L2); FLUN D09 (R3); FLUN D12 (R1); FLUN D22 (L3); FLUN D29 (R5); FLUN D30 (R4); FLUN D37 (R2); FLUN D43 (L1); FLUN D44 (L4); FLUN S91 (PK),FLUN D02 (0.0); FLUN D06 (0.0); FLUN D09 (0.0); FLUN D12 (0.0); FLUN D22 (0.0); FLUN D29 (0.0); FLUN D30 (0.0); FLUN D37 (0.0); FLUN D43 (0.0); FLUN D44 (0.0); FLUN S91 (+0.5),,,FLUN,0,,,,,,,,,,,-35,,,,,40,,4.07,L,R,,,,,,FLUN S91 (PK),DEZ,74,C,C,FLUN S91,TOUCHBACK,D,26,4,,,,,,,6-0-3,,,,,FLAT 03 (LF1); FLAT 05 (KFB-R); FLAT 06 (RF1); FLAT D03 (KR-L); FLAT D09 (RB); FLAT D10 (LB); FLAT D17 (MB); FLAT D21 (LF3); FLAT D28 (RF2); FLAT D35 (LF2); FLAT D43 (RF3),FLAT 03 (0.0); FLAT 05 (0.0); FLAT 06 (0.0); FLAT D03 (0.0); FLAT D09 (0.0); FLAT D10 (0.0); FLAT D17 (0.0); FLAT D21 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D43 (0.0),,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLUN S91,,,0,,,,0,,,0,,,,,,,,FLAT D03,,,,,-24,,,KICKOFF,,2; FLUN D12 (R1); FLUN D43 (L1),,,,,,,,,0,9,0,0,0,,false,1,3,-1.2,0.727,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31030_7073920,
7077612,31030,2026-09-05,2026,01,411418,3222,3,0,13:08,0,,0,45,0,,,71,0,,,71,0,0,0,14,0,13,0,7076203,7076286,,45.14,0,,124,0,,,0,0,,,0,0,,,,,,,,5-5,,FLUN D02 (L5); FLUN D06 (L2); FLUN D09 (R3); FLUN D12 (R1); FLUN D22 (L3); FLUN D29 (R5); FLUN D30 (R4); FLUN D37 (R2); FLUN D43 (L1); FLUN D44 (L4); FLUN S91 (PK),FLUN D02 (0.0); FLUN D06 (0.0); FLUN D09 (0.0); FLUN D12 (0.0); FLUN D22 (0.0); FLUN D29 (0.0); FLUN D30 (0.0); FLUN D37 (0.0); FLUN D43 (0.0); FLUN D44 (0.0); FLUN S91 (+0.5),,,FLUN,0,,,,,,,,,,,-35,,,,,52,,3.94,L,R,,,,,,FLUN D02 (L5); FLUN S91 (PK); FLAT D17 (MB),DEZ,71,R,R,FLUN S91,TOUCHBACK,D,37,5R,,,,,FLAT D17,,6-0-3,,,,,FLAT 03 (LF1); FLAT 05 (KFB-L); FLAT 06 (RF1); FLAT D03 (KR); FLAT D09 (RB); FLAT D10 (LB); FLAT D17 (MB); FLAT D21 (LF3); FLAT D28 (RF2); FLAT D35 (LF2); FLAT D43 (RF3),FLAT 03 (0.0); FLAT 05 (0.0); FLAT 06 (0.0); FLAT D03 (0.0); FLAT D09 (0.0); FLAT D10 (0.0); FLAT D17 (-1.0); FLAT D21 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D43 (0.0),,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,FLAT D17 UNR,,,+13,,,,FLUN S91,,,0,,,,0,,,0,,,,,,,,FLAT D03,,,,,-31,,,KICKOFF,,3; FLUN D09 (R3); FLUN D12 (R1); FLUN D22 (L3),,,,,,,,,0,6,0,0,0,,false,3,3,-1.2,1.797,,false,,,,,,,,,,,,,,,,,,65,,0.0,0.895,31030_7077612,
7077346,31030,2026-09-05,2026,01,411418,3749,3,0,04:21,0,,0,52,0,,,69,0,,,69,0,0,0,14,0,,0,7077153,7078589,,52.14,0,,144,0,,,0,0,,,0,0,,,,,,,,5-5,,FLUN 24 (L2); FLUN D02 (L5); FLUN D09 (R3); FLUN D12 (R1); FLUN D22 (L3); FLUN D29 (R5); FLUN D30 (R4); FLUN D37 (R2); FLUN D43 (L1); FLUN D44 (L4); FLUN S91 (PK),FLUN 24 (0.0); FLUN D02 (0.0); FLUN D09 (0.0); FLUN D12 (0.0); FLUN D22 (0.0); FLUN D29 (0.0); FLUN D30 (0.0); FLUN D37 (0.0); FLUN D43 (0.0); FLUN D44 (0.0); FLUN S91 (+0.5),,,FLUN,0,,,,,,,,,,,-35,,,,,40,,4.47,L,R,,,,,,FLUN S91 (PK),DEZ,72,C,C,FLUN S91,TOUCHBACK,D,30,4,,,,,,,6-0-3,,,,,FLAT 03 (LF1); FLAT 05 (KFB-L); FLAT 06 (RF1); FLAT 86 (RB); FLAT D03 (KR); FLAT D10 (LB); FLAT D21 (LF3); FLAT D28 (RF2); FLAT D35 (LF2); FLAT D43 (RF3); FLAT D44 (MB),FLAT 03 (0.0); FLAT 05 (0.0); FLAT 06 (0.0); FLAT 86 (0.0); FLAT D03 (0.0); FLAT D10 (0.0); FLAT D21 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D43 (0.0); FLAT D44 (0.0),,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLUN S91,,,0,,,,0,,,0,,,,,,,,FLAT D03,,,,,-38,,,KICKOFF,,3; FLUN D12 (R1); FLUN D22 (L3); FLUN D29 (R5),,,,,,,,,0,,0,0,0,,false,3,3,-1.2,1.468,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31030_7077346,
7078530,31030,2026-09-05,2026,01,411418,4330,4,0,12:24,0,,0,59,0,,,72,0,,,72,0,0,0,21,0,,0,7078292,7078538,,59.21,0,,166,0,,,0,0,,,0,0,,,,,,,,5-5,,FLUN 24 (R2); FLUN 25 (L2); FLUN D02 (R5); FLUN D09 (L3); FLUN D12 (L1); FLUN D22 (R3); FLUN D29 (L5); FLUN D30 (L4); FLUN D43 (R1); FLUN D44 (R4); FLUN S40 (PK),FLUN 24 (0.0); FLUN 25 (0.0); FLUN D02 (0.0); FLUN D09 (0.0); FLUN D12 (0.0); FLUN D22 (0.0); FLUN D29 (0.0); FLUN D30 (0.0); FLUN D43 (0.0); FLUN D44 (0.0); FLUN S40 (+0.5),,,FLUN,0,,,,,,,,,,,-35,,,,,40,,3.89,R,L,,,,,,FLUN S40 (PK),DEZ,72,R,R,FLUN S40,TOUCHBACK,D,50,6R,,,,,,,6-0-3,,,,,FLAT 03 (LF1); FLAT 05 (KFB-R); FLAT 06 (RF1); FLAT 26 (LF3); FLAT 86 (RB); FLAT D03 (KR-L); FLAT D10 (LB); FLAT D28 (RF2); FLAT D35 (LF2); FLAT D43 (RF3); FLAT D44 (MB),FLAT 03 (0.0); FLAT 05 (0.0); FLAT 06 (0.0); FLAT 26 (0.0); FLAT 86 (0.0); FLAT D03 (0.0); FLAT D10 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D43 (0.0); FLAT D44 (0.0),,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLUN S40,,,0,,,,0,,,0,,,,,,,,FLAT D03,,,,,-38,,,KICKOFF,,3; FLUN D09 (L3); FLUN D12 (L1); FLUN D43 (R1),,,,,,,,,0,16,0,0,0,,false,3,3,-1.2,1.312,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31030_7078530,
