pff_PLAYID,pff_GAMEID,pff_GAMEDATE,pff_GAMESEASON,pff_WEEK,pff_GSISGAMEKEY,pff_GSISPLAYID,pff_QUARTER,pff_DOWN,pff_CLOCK,pff_BLITZDOG,pff_CATCHABLE,pff_DEEPPASS,pff_DEFSCORE,pff_DRAW,pff_DRIVE,pff_DRIVEPLAY,pff_GAINLOSS,pff_GARBAGETIME,pff_FIRST_DOWN_GAINED,pff_GETOFFTIME,pff_KICKYARDS,pff_NOHUDDLE,pff_NOPLAY,pff_OFFFORMATIONUNBALANCED,pff_OFFSCORE,pff_OPTION,pff_PENALTYYARDS,pff_PLAYACTION,pff_PREVIOUSPFFPLAYID,pff_NEXTPFFPLAYID,pff_RETURNYARDS,pff_SCORE,pff_SCREEN,pff_SNAPTIME,pff_SORTORDER,pff_STUNT,pff_TIMETOPRESSURE,pff_TIMETOTHROW,pff_TRICKLOOK,pff_TRICKPLAY,pff_YARDSAFTERCATCH,pff_YARDSAFTERCONTACT,pff_2MINUTE,pff_3MINUTE,pff_BALLCARRIER,pff_BOXPLAYERS,pff_BUNCHED,pff_CENTERPASSBLOCKDIRECTION,pff_CHECKROUTE,pff_CHIPROUTE,pff_DBDEPTH,pff_DEFFRONT,pff_DEFPERSONNEL,pff_DEFPLAYERS,pff_DEFPLAYERSRATINGS,pff_DEFSUBSTITUTIONS,pff_DEFSUCCESS,pff_DEFTEAM,pff_DISTANCE,pff_DLDROP,pff_DLTECHNIQUES,pff_DOUBLETEAM,pff_DRIVEENDEVENT,pff_DRIVEENDFIELDPOSITION,pff_DRIVEENDPLAYNUMBER,pff_DRIVESTARTEVENT,pff_DRIVESTARTFIELDPOSITION,pff_DROPBACKDEPTH,pff_DROPBACKTYPE,pff_FIELDPOSITION,pff_FIRSTCONTACT,pff_FORCEDFUMBLE,pff_FUMBLE,pff_FUMBLERECOVERY,pff_GAINLOSSNET,pff_GUNNERS,pff_HANGTIME,pff_HASH,pff_HASHDEF,pff_HIT,pff_HURRY,pff_INCOMPLETIONTYPE,pff_INJURED,pff_INTERCEPTION,pff_KEYPLAYERS,pff_KICKCONTACT,pff_KICKDEPTH,pff_KICKDIRACTUAL,pff_KICKDIRINTENDED,pff_KICKER,pff_KICKRESULT,pff_KICKTYPE,pff_KICKWIDTH,pff_KICKZONE,pff_LBDEPTH,pff_MISSEDTACKLE,pff_MOFOCPLAYED,pff_MOFOCSHOWN,pff_NEGATIVEPFFGRADE,pff_OFFFORMATION,pff_OFFFORMATIONGROUP,pff_OFFODDITIES,pff_OFFPERSONNEL,pff_OFFPERSONNELBASIC,pff_OFFPERSONNELSKILL,pff_OFFPLAYERS,pff_OFFPLAYERSRATINGS,pff_OFFSUBSTITUTIONS,pff_OFFSUCCESS,pff_OFFTEAM,pff_ONLOS,pff_OPERATIONTIME,pff_PASSBLOCKING,pff_PASSBREAKUP,pff_PASSCOVERAGE,pff_PASSCOVERAGE1,pff_PASSCOVERAGE2,pff_PASSCOVERAGEPLAYERS,pff_PASSDEPTH,pff_PASSDIRECTION,pff_PASSER,pff_PASSPATTERN,pff_PASSPATTERNBASIC,pff_PASSPATTERNBYPLAYER,pff_PASSRECEIVERPOSITIONTARGET,pff_PASSRECEIVERTARGET,pff_PASSRESULT,pff_PASSROUTETARGET,pff_PASSROUTETARGETGROUP,pff_PASSRUSHPLAYERS,pff_PASSRUSHRESULT,pff_PASSWIDTH,pff_PASSZONE,pff_PENALTY,pff_PISTOL,pff_PLAYACTIONFAKE,pff_PLAYENDFIELDPOSITION,pff_POAACTUAL,pff_POACHANGEREASON,pff_POAINTENDED,pff_POSITIVEPFFGRADE,pff_PRESS,pff_PRESSUREDETAIL,pff_PUMPFAKE,pff_PUNTRUSH,pff_PURSUIT,pff_QB,pff_QBMOVEDOFFSPOT,pff_QBPRESSURE,pff_QBPRESSUREALLOWED,pff_QBRESET,pff_QBSCRAMBLE,pff_RBALIGNMENT,pff_RBDEPTH,pff_RBDIRECTION,pff_RBSINBACKFIELD,pff_RETDIRECTIONINTENDED,pff_RETURNDIRECTION,pff_RETURNER,pff_RUNCONCEPTPRIMARY,pff_RUNCONCEPTSECONDARY,pff_RUNPASS,pff_SACK,pff_SCOREDIFFERENTIAL,pff_SHIFTMOTION,pff_SHOTGUN,pff_SPECIALTEAMSTYPE,pff_STOP,pff_STSAFETIES,pff_TACKLE,pff_TACKLEASSIST,pff_TEALIGNMENT,pff_TOUCHDOWN,pff_UNBLOCKEDPRESSURE,pff_VISE,pff_WRALIGNMENT,pff_CONTESTED,pff_RUNPASSOPTION,pff_PLAYCLOCK,pff_HAIL_MARY,pff_BUSTED_COVERAGE,pff_TURNOVER,pff_NON_TACKLE_TYPE,pff_TEMPO,pff_DEF_TIMEOUTS_REMAINING,pff_OFF_TIMEOUTS_REMAINING,pff_EXPECTED_POINTS,pff_EXPECTED_POINTS_ADDED,pff_ROUTE_THROWN,pff_SIDELINE_CHECK,pff_OFF_PERSONNEL_GROUP,pff_RBS_ON_FIELD,pff_TES_ON_FIELD,pff_WRS_ON_FIELD,pff_BACKSET,pff_OFFENSIVE_FORMATION_NAME,pff_STARTING_OFFENSIVE_FORMATION,pff_STARTING_OFFENSIVE_FORMATION_GROUP,pff_STARTING_OFFENSIVE_FORMATION_NAME,pff_DEF_PACKAGE,pff_DBS_ON_FIELD,pff_LBS_ON_FIELD,pff_DLS_ON_FIELD,pff_DEFENSIVE_FRONT_NAME,pff_MUG_LOOK,pff_PASS_COVERAGE_BASIC,pff_KICKOFF_RETURN_CONCEPT,pff_YARDS_TO_GOAL_LINE,pff_FGOPTIME,pff_EXPECTED_POINTS_LEGACY,pff_EXPECTED_POINTS_ADDED_LEGACY,pff_TEAMWORKS_PLAY_ID,pff_DRIVEID
7069041,31030,2026-09-05,2026,01,411418,690,1,4,07:30,0,,0,7,0,,,18,0,,1.83,18,0,0,0,0,0,,0,7068969,7069280,,7.00,0,0.89,26,0,,,0,0,,,0,0,,7; FLUN 05; FLUN D02; FLUN D06; FLUN D09; FLUN D14; FLUN D16; FLUN D44,,,,,,6-1,,FLUN 01 (PR); FLUN 03 (VRi); FLUN 05 (PDR2); FLUN D02 (PDL2); FLUN D06 (PLL); FLUN D09 (PDL3); FLUN D14 (PDR1); FLUN D16 (PDL1); FLUN D25 (VRo); FLUN D37 (VL); FLUN D44 (PDR3),FLUN 01 (0.0); FLUN 03 (0.0); FLUN 05 (0.0); FLUN D02 (0.0); FLUN D06 (0.0); FLUN D09 (0.0); FLUN D14 (0.0); FLUN D16 (0.0); FLUN D25 (0.0); FLUN D37 (0.0); FLUN D44 (0.0),,,FLUN,5,,,FLUN 03 (VRi); FLUN D06 (PLL); FLUN D25 (VRo); FLUN D37 (VL); FLAT D03 (GL); FLAT D22 (GR),,,,,,,,-30,,,FLAT S91,FLAT S91,18,FLAT D03 (GLa); FLAT D22 (GRx),4.00,C,C,,,,,,FLAT S45 (PLS); FLAT S91 (P),BB,18,C,C,FLAT S91,DOWNED,N,27,4,,,,,FLAT S45; FLAT S91,,,,,,,FLAT 01 (PPR); FLAT 72 (PPLi); FLAT D03 (GL); FLAT D17 (PLG); FLAT D21 (PLT); FLAT D22 (GR); FLAT D28 (PRT); FLAT D35 (PRG); FLAT D95 (PPLo); FLAT S45 (PLS); FLAT S91 (P),FLAT 01 (0.0); FLAT 72 (0.0); FLAT D03 (0.0); FLAT D17 (0.0); FLAT D21 (0.0); FLAT D22 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D95 (0.0); FLAT S45 (-1.0); FLAT S91 (-2.0),,,FLAT,FLAT D03; FLAT D17; FLAT D21; FLAT D22; FLAT D28; FLAT D35; FLAT S45,2.72,,,,,,,,,,,,,,,,,,,,,,,,,-48,,,,,,,0,1; FLUN D16 (PDL1),,,0,,,0,,R,,,,,,FLUN 01,,,,,-7,,,PUNT,,1; FLUN D06 (PLL),,,,,,FLUN 03 (VRi); FLUN D25 (VRo); FLUN D37 (VL),,,0,11,0,0,0,,false,3,3,-2.588,-0.85,,false,,,,,,,,,,,,,,,,,,70,,-2.377,-1.239,31030_7069041,
7070109,31030,2026-09-05,2026,01,411418,974,1,4,05:42,0,,0,14,0,,,50,0,,1.22,50,0,0,0,0,0,,0,7070048,7070155,,14.00,0,0.91,37,0,,,0,0,,,0,0,,9; FLUN 03; FLUN 05; FLUN D02; FLUN D06; FLUN D09; FLUN D14; FLUN D16; FLUN D37; FLUN D44,,,,,,8-1,,FLUN 01 (PR); FLUN 03 (PDL1); FLUN 05 (PDR1); FLUN D02 (PDL2); FLUN D06 (PLL); FLUN D09 (PDL4); FLUN D14 (PDR3); FLUN D16 (PDR4); FLUN D25 (VR); FLUN D37 (PDL3); FLUN D44 (PDR2),FLUN 01 (0.0); FLUN 03 (0.0); FLUN 05 (0.0); FLUN D02 (0.0); FLUN D06 (0.0); FLUN D09 (0.0); FLUN D14 (0.0); FLUN D16 (0.0); FLUN D25 (0.0); FLUN D37 (0.0); FLUN D44 (0.0),,,FLUN,8,,,,,,,,,,,-27,,,,,50,FLAT D03 (GLox); FLAT D22 (GLix),5.38,R,L,,,,,,FLAT S91 (P),BF,50,C,C,FLAT S91,DOWNED,N,22,4,,,,,,,,,,,,FLAT 01 (PPRo); FLAT 72 (PPRi); FLAT D03 (GLo); FLAT D17 (PLG); FLAT D21 (PLT); FLAT D22 (GLi); FLAT D28 (PRT); FLAT D35 (PRG); FLAT D95 (PPL); FLAT S45 (PLS); FLAT S91 (P),FLAT 01 (0.0); FLAT 72 (0.0); FLAT D03 (0.0); FLAT D17 (0.0); FLAT D21 (0.0); FLAT D22 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D95 (0.0); FLAT S45 (0.0); FLAT S91 (+0.5),,,FLAT,FLAT D03; FLAT D17; FLAT D21; FLAT D22; FLAT D28; FLAT D35; FLAT S45,2.13,,,,,,,,,,,,,,,,,,,,,,,,,+23,,,,FLAT S91,,,0,1; FLUN 05 (PDR1),,,0,,,0,,L,,,,,,FLUN 01,,,,,-14,,,PUNT,,,,,,,,FLUN D25 (VR),,,0,9,0,0,0,,false,3,3,-2.781,1.409,,false,,,,,,,,,,,,,,,,,,73,,-2.531,0.972,31030_7070109,
7071584,31030,2026-09-05,2026,01,411418,1606,2,0,13:54,0,,0,7,0,,,75,0,,,75,0,0,0,17,0,,0,7071577,7071592,,17.07,0,,61,0,,,0,0,,,0,0,,,,,,,,5-5,,FLAT D03 (R4); FLAT D06 (R5); FLAT D08 (L1); FLAT D10 (L2); FLAT D16 (L5); FLAT D17 (L3); FLAT D21 (R3); FLAT D23 (R1); FLAT D28 (L4); FLAT D36 (R2); FLAT S41 (PK),FLAT D03 (0.0); FLAT D06 (0.0); FLAT D08 (0.0); FLAT D10 (0.0); FLAT D16 (0.0); FLAT D17 (0.0); FLAT D21 (0.0); FLAT D23 (0.0); FLAT D28 (0.0); FLAT D36 (0.0); FLAT S41 (+0.5),,,FLAT,0,,,,,,,,,,,-35,,,,,40,,4.67,L,R,,,,,,FLAT S41 (PK),DEZ,75,L,L,FLAT S41,TOUCHBACK,D,19,3L,,,,,,,5-0-4,,,,,FLUN 05 (LF1); FLUN 07 (LB1); FLUN 17 (RB1); FLUN 22 (RF1); FLUN 24 (KR-R); FLUN 50 (LB2); FLUN 86 (RB2); FLUN D02 (LF2); FLUN D06 (KFB-L); FLUN D16 (MF); FLUN D44 (RF2),FLUN 05 (0.0); FLUN 07 (0.0); FLUN 17 (0.0); FLUN 22 (0.0); FLUN 24 (0.0); FLUN 50 (0.0); FLUN 86 (0.0); FLUN D02 (0.0); FLUN D06 (0.0); FLUN D16 (0.0); FLUN D44 (0.0),,,FLUN,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,FLUN 24,,,,,+10,,,KICKOFF,,2; FLAT D08 (L1); FLAT D23 (R1),,,,,,,,,0,17,0,0,0,,false,3,2,-1.2,-0.103,,false,,,,,,,,,,,,,,,,,,65,,0.0,-1.727,31030_7071584,
7073025,31030,2026-09-05,2026,01,411418,2193,2,0,06:50,0,,0,14,0,,,75,0,,,75,0,0,0,24,0,,0,7072967,7073087,,24.14,0,,84,0,,,0,0,,,0,0,,,,,,,,5-5,,FLAT D03 (R4); FLAT D06 (R5); FLAT D08 (L1); FLAT D10 (L2); FLAT D16 (L5); FLAT D17 (L3); FLAT D21 (R3); FLAT D23 (R1); FLAT D28 (L4); FLAT D36 (R2); FLAT S41 (PK),FLAT D03 (0.0); FLAT D06 (0.0); FLAT D08 (0.0); FLAT D10 (0.0); FLAT D16 (0.0); FLAT D17 (0.0); FLAT D21 (0.0); FLAT D23 (0.0); FLAT D28 (0.0); FLAT D36 (0.0); FLAT S41 (+0.5),,,FLAT,0,,,FLUN D29 (RF3); FLUN D44 (RF2); FLAT D16 (L5),,,,,,,,-35,,,,,40,,4.46,C,C,,,,,,FLAT S41 (PK),DEZ,75,L,L,FLAT S41,TOUCHBACK,D,15,3L,,,,,,,6-0-3,,,,,FLUN 05 (LF1); FLUN 07 (LB); FLUN 17 (RB); FLUN 22 (RF1); FLUN 24 (KR-R); FLUN 86 (MB); FLUN D02 (LF2); FLUN D06 (KFB-L); FLUN D16 (LF3); FLUN D29 (RF3); FLUN D44 (RF2),FLUN 05 (0.0); FLUN 07 (0.0); FLUN 17 (0.0); FLUN 22 (0.0); FLUN 24 (0.0); FLUN 86 (0.0); FLUN D02 (0.0); FLUN D06 (0.0); FLUN D16 (0.0); FLUN D29 (0.0); FLUN D44 (0.0),,,FLUN,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,FLUN 24,,,,,+10,,,KICKOFF,,2; FLAT D08 (L1); FLAT D23 (R1),,,,,,,,,0,,0,0,0,,false,3,1,-1.2,0.021,,false,,,,,,,,,,,,,,,,,,65,,0.0,-1.727,31030_7073025,
7076002,31030,2026-09-05,2026,01,411418,3082,3,0,15:00,0,,0,14,0,,,74,0,,,74,0,0,0,38,0,,0,7074922,7076058,,38.14,0,,118,0,,,0,0,,,0,0,,,,,,,,5-5,,FLAT D03 (R4); FLAT D08 (L1); FLAT D10 (L2); FLAT D16 (L5); FLAT D17 (L3); FLAT D21 (R3); FLAT D26 (R1); FLAT D28 (L4); FLAT D36 (R2); FLAT D43 (R5); FLAT S41 (PK),FLAT D03 (0.0); FLAT D08 (0.0); FLAT D10 (0.0); FLAT D16 (0.0); FLAT D17 (0.0); FLAT D21 (0.0); FLAT D26 (0.0); FLAT D28 (0.0); FLAT D36 (0.0); FLAT D43 (0.0); FLAT S41 (+0.5),,,FLAT,0,,,FLUN D29 (RF3); FLUN D44 (RF2); FLAT D16 (L5),,,,,,,,-35,,,,,40,,4.45,C,C,,,,,,FLAT S41 (PK),DEZ,70,L,L,FLAT S41,TOUCHBACK,D,12,3L,,,,,,,6-0-3,,,,,FLUN 05 (LF1); FLUN 07 (LB); FLUN 17 (RB); FLUN 22 (RF1); FLUN 24 (KR-R); FLUN 86 (MB); FLUN D02 (LF2); FLUN D06 (KFB-L); FLUN D16 (LF3); FLUN D29 (RF3); FLUN D44 (RF2),FLUN 05 (0.0); FLUN 07 (0.0); FLUN 17 (0.0); FLUN 22 (0.0); FLUN 24 (0.0); FLUN 86 (0.0); FLUN D02 (0.0); FLUN D06 (0.0); FLUN D16 (0.0); FLUN D29 (0.0); FLUN D44 (0.0),,,FLUN,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,FLUN 24,,,,,+24,,,KICKOFF,,2; FLAT D08 (L1); FLAT D26 (R1),,,,,,,,,0,16,0,0,0,,false,3,3,-1.2,-0.169,,false,,,,,,,,,,,,,,,,,,65,,0.0,-1.727,31030_7076002,
7076684,31030,2026-09-05,2026,01,411418,3465,3,4,09:18,0,,0,45,0,,,47,0,,1.24,47,0,0,0,14,0,,0,7076667,7076818,,45.14,0,0.88,133,0,,,0,0,,,0,0,,8; FLUN 03; FLUN 05; FLUN D02; FLUN D09; FLUN D14; FLUN D16; FLUN D43; FLUN D44,,,,,,7-1,,FLUN 01 (PR); FLUN 03 (PDR2); FLUN 05 (PDR3); FLUN D02 (PDL2); FLUN D09 (PDL3); FLUN D14 (PDR1); FLUN D16 (PDL1); FLUN D25 (VR); FLUN D37 (VL); FLUN D43 (PLL); FLUN D44 (PDR4),FLUN 01 (0.0); FLUN 03 (0.0); FLUN 05 (0.0); FLUN D02 (0.0); FLUN D09 (0.0); FLUN D14 (0.0); FLUN D16 (0.0); FLUN D25 (+0.5); FLUN D37 (0.0); FLUN D43 (0.0); FLUN D44 (0.0),,,FLUN,13,,,FLUN 03 (PDR2); FLUN D25 (VR); FLUN D37 (VL); FLUN D43 (PLL); FLAT D03 (GL); FLAT D14 (GR),,,,,,,,-32,,,,,47,FLAT D03 (GLx); FLAT D14 (GRx),4.60,L,R,,,,,,FLAT D03 (GL); FLAT D35 (PRG); FLAT S91 (P); FLUN D09 (PDL3); FLUN D25 (VR),CC,47,L,L,FLAT S91,FAIR CATCH,N,3,2L,,,,,FLAT D03,,,,,,,FLAT 01 (PPR); FLAT 72 (PPLi); FLAT D03 (GL); FLAT D14 (GR); FLAT D17 (PLG); FLAT D21 (PLT); FLAT D28 (PRT); FLAT D35 (PRG); FLAT D95 (PPLo); FLAT S45 (PLS); FLAT S91 (P),FLAT 01 (0.0); FLAT 72 (0.0); FLAT D03 (-0.5); FLAT D14 (0.0); FLAT D17 (0.0); FLAT D21 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D95 (0.0); FLAT S45 (0.0); FLAT S91 (+0.5),,,FLAT,FLAT D03; FLAT D14; FLAT D17; FLAT D21; FLAT D28; FLAT D35; FLAT S45,2.12,,,,,,,,,,,,,,,,,,,,,,,,,+21,,,,FLAT S91; FLUN D25,,,0,,,,0,,,0,,R,,,,,,FLUN 01,,,,,-31,,,PUNT,,2; FLUN 03 (PDR2); FLUN D43 (PLL),,,,,,FLUN D25 (VR); FLUN D37 (VL),,,0,1,0,0,0,,false,3,3,-2.533,1.156,,false,,,,,,,,,,,,,,,,,,68,,-2.272,0.885,31030_7076684,
7077922,31030,2026-09-05,2026,01,411418,4040,3,0,01:15,0,,0,21,0,,,72,0,,,72,0,0,0,52,0,,0,7077908,7077934,,52.21,0,,155,0,,,0,0,,,0,0,,,,,,,,5-5,,FLAT D03 (R4); FLAT D08 (L1); FLAT D10 (L2); FLAT D12 (L4); FLAT D16 (L5); FLAT D21 (R3); FLAT D26 (R1); FLAT D28 (L3); FLAT D36 (R2); FLAT D43 (R5); FLAT S41 (PK),FLAT D03 (0.0); FLAT D08 (0.0); FLAT D10 (0.0); FLAT D12 (0.0); FLAT D16 (0.0); FLAT D21 (0.0); FLAT D26 (0.0); FLAT D28 (0.0); FLAT D36 (0.0); FLAT D43 (0.0); FLAT S41 (+0.5),,,FLAT,0,,,FLUN D29 (RF3); FLUN D44 (RF2); FLAT D16 (L5),,,,,,,,-35,,,,,40,,4.18,L,R,,,,,,FLAT S41 (PK),DEZ,72,L,L,FLAT S41,TOUCHBACK,D,6,2L,,,,,,,6-0-3,,,,,FLUN 05 (LF1); FLUN 07 (LB); FLUN 17 (RB); FLUN 22 (RF1); FLUN 24 (KR-R); FLUN 27 (KFB-L); FLUN 86 (MB); FLUN D02 (LF2); FLUN D16 (LF3); FLUN D29 (RF3); FLUN D44 (RF2),FLUN 05 (0.0); FLUN 07 (0.0); FLUN 17 (0.0); FLUN 22 (0.0); FLUN 24 (0.0); FLUN 27 (0.0); FLUN 86 (0.0); FLUN D02 (0.0); FLUN D16 (0.0); FLUN D29 (0.0); FLUN D44 (0.0),,,FLUN,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,FLUN 24,,,,,+31,,,KICKOFF,,2; FLAT D08 (L1); FLAT D26 (R1),,,,,,,,,0,,0,0,0,,false,3,3,-1.2,-0.138,,false,,,,,,,,,,,,,,,,,,65,,0.0,-1.727,31030_7077922,
7113808,31155,2026-09-12,2026,02,411487,129,1,0,14:18,0,,0,7,0,,,64,0,,,64,0,0,0,0,0,,0,7113524,7113891,,7.00,0,,5,0,,,0,0,,,0,0,,,,,,,,5-5,,FLAT D03 (R4); FLAT D07 (L4); FLAT D08 (L1); FLAT D16 (L5); FLAT D17 (L3); FLAT D21 (R3); FLAT D23 (R1); FLAT D31 (L2); FLAT D36 (R2); FLAT D43 (R5); FLAT S41 (PK),FLAT D03 (0.0); FLAT D07 (0.0); FLAT D08 (0.0); FLAT D16 (0.0); FLAT D17 (0.0); FLAT D21 (0.0); FLAT D23 (0.0); FLAT D31 (0.0); FLAT D36 (0.0); FLAT D43 (0.0); FLAT S41 (0.0),,,FLAT,0,,,,,,,,,,,-35,,,,,40,,2.80,C,C,,,,,,,BF,64,L,L,FLAT S41,TOUCHBACK,F,5,2L,,,,,,,6-0-3,,,,,MDNA 25 (KR-R); MDNA 26 (KFB-L); MDNA 42 (RB); MDNA 43 (LB); MDNA 82 (LF3); MDNA D05 (RF3); MDNA D28 (LF1); MDNA D32 (RF1); MDNA D35 (LF2); MDNA D47 (RF2); MDNA D96 (MB),MDNA 25 (0.0); MDNA 26 (0.0); MDNA 42 (0.0); MDNA 43 (0.0); MDNA 82 (0.0); MDNA D05 (0.0); MDNA D28 (0.0); MDNA D32 (0.0); MDNA D35 (0.0); MDNA D47 (0.0); MDNA D96 (0.0),,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,,,,0,,,,0,,,0,,,,,,,,MDNA 25,,,,,-7,,,KICKOFF,,2; FLAT D08 (L1); FLAT D23 (R1),,,,,,,,,0,18,0,0,0,,false,3,3,-1.2,1.439,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31155_7113808,
7114650,31155,2026-09-12,2026,02,411487,390,1,4,11:02,0,,0,7,0,,,30,0,,1.34,30,0,0,0,7,0,,0,7114640,7114727,,7.07,0,0.91,16,0,,,0,0,,,0,0,,8; MDNA 86; MDNA D01; MDNA D08; MDNA D16; MDNA D21; MDNA D22; MDNA D47; MDNA D52,,,,,,5-3,,MDNA 23 (PR); MDNA 86 (PLL); MDNA D01 (PDL1); MDNA D04 (VL); MDNA D08 (PLR2); MDNA D16 (PLR1); MDNA D21 (PDR2); MDNA D22 (PDL2); MDNA D28 (VR); MDNA D47 (PDR1); MDNA D52 (PDL3),MDNA 23 (0.0); MDNA 86 (0.0); MDNA D01 (0.0); MDNA D04 (0.0); MDNA D08 (0.0); MDNA D16 (0.0); MDNA D21 (0.0); MDNA D22 (0.0); MDNA D28 (0.0); MDNA D47 (0.0); MDNA D52 (0.0),,,MDNA,17,,,,,,,,,,,-30,,,,,30,FLAT D03 (GLa); FLAT D16 (GRx),3.32,L,R,,,,,,FLAT S91 (P),BB,30,L,L,FLAT S91,OUT OF BOUNDS,N,3,2L,,,,,FLAT S91,,,,,,,FLAT 72 (PPLi); FLAT D03 (GL); FLAT D11 (PPR); FLAT D16 (GR); FLAT D21 (PLT); FLAT D28 (PRT); FLAT D35 (PLG); FLAT D43 (PRG); FLAT D95 (PPLo); FLAT S45 (PLS); FLAT S91 (P),FLAT 72 (0.0); FLAT D03 (0.0); FLAT D11 (0.0); FLAT D16 (0.0); FLAT D21 (0.0); FLAT D28 (0.0); FLAT D35 (0.0); FLAT D43 (0.0); FLAT D95 (0.0); FLAT S45 (0.0); FLAT S91 (-0.5),,,FLAT,FLAT D03; FLAT D16; FLAT D21; FLAT D28; FLAT D35; FLAT D43; FLAT S45,2.25,,,,,,,,,,,,,,,,,,,,,,,,,+40,,,,,,,0,6; MDNA 86 (PLL); MDNA D08 (PLR2); MDNA D16 (PLR1); MDNA D21 (PDR2); MDNA D22 (PDL2); MDNA D52 (PDL3),,,0,,,0,,R,,,,,,MDNA 23,,,,,0,,,PUNT,,,,,,,,MDNA D04 (VL); MDNA D28 (VR),,,0,,0,0,0,,false,3,3,-1.111,-0.083,,false,,,,,,,,,,,,,,,,,,70,,-1.04,-0.558,31155_7114650,
7115546,31155,2026-09-12,2026,02,411487,719,1,0,06:59,0,,0,14,0,,,74,0,,,74,0,0,0,7,0,,0,7115305,7115635,,14.07,0,,29,0,,,0,0,,,0,0,,,,,,,,5-5,,FLAT D03 (R4); FLAT D07 (L4); FLAT D16 (L5); FLAT D17 (L3); FLAT D20 (L1); FLAT D21 (R3); FLAT D23 (R1); FLAT D31 (L2); FLAT D36 (R2); FLAT D43 (R5); FLAT S41 (PK),FLAT D03 (0.0); FLAT D07 (0.0); FLAT D16 (0.0); FLAT D17 (0.0); FLAT D20 (0.0); FLAT D21 (0.0); FLAT D23 (0.0); FLAT D31 (0.0); FLAT D36 (0.0); FLAT D43 (0.0); FLAT S41 (+0.5),,,FLAT,0,,,,,,,,,,,-35,,,,,40,,4.31,C,C,,,,,,FLAT S41 (PK),DEZ,74,L,L,FLAT S41,TOUCHBACK,D,16,3L,,,,,,,6-0-3,,,,,MDNA 25 (KR-R); MDNA 26 (KFB-L); MDNA 42 (RB); MDNA 43 (LB); MDNA 82 (LF3); MDNA D05 (RF3); MDNA D28 (LF1); MDNA D32 (RF1); MDNA D35 (LF2); MDNA D47 (RF2); MDNA D96 (MB),MDNA 25 (0.0); MDNA 26 (0.0); MDNA 42 (0.0); MDNA 43 (0.0); MDNA 82 (0.0); MDNA D05 (0.0); MDNA D28 (0.0); MDNA D32 (0.0); MDNA D35 (0.0); MDNA D47 (0.0); MDNA D96 (0.0),,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,+25,,,,FLAT S41,,,0,,,,0,,,0,,,,,,,,MDNA 25,,,,,-7,,,KICKOFF,,2; FLAT D20 (L1); FLAT D23 (R1),,,,,,,,,0,16,0,0,0,,false,3,3,-1.2,1.463,,false,,,,,,,,,,,,,,,,,,65,,0.0,-0.285,31155_7115546,
