pff_PLAYID,pff_GAMEID,pff_GAMEDATE,pff_GAMESEASON,pff_WEEK,pff_GSISGAMEKEY,pff_GSISPLAYID,pff_QUARTER,pff_DOWN,pff_CLOCK,pff_BLITZDOG,pff_CATCHABLE,pff_DEEPPASS,pff_DEFSCORE,pff_DRAW,pff_DRIVE,pff_DRIVEPLAY,pff_GAINLOSS,pff_GARBAGETIME,pff_FIRST_DOWN_GAINED,pff_GETOFFTIME,pff_KICKYARDS,pff_NOHUDDLE,pff_NOPLAY,pff_OFFFORMATIONUNBALANCED,pff_OFFSCORE,pff_OPTION,pff_PENALTYYARDS,pff_PLAYACTION,pff_PREVIOUSPFFPLAYID,pff_NEXTPFFPLAYID,pff_RETURNYARDS,pff_SCORE,pff_SCREEN,pff_SNAPTIME,pff_SORTORDER,pff_STUNT,pff_TIMETOPRESSURE,pff_TIMETOTHROW,pff_TRICKLOOK,pff_TRICKPLAY,pff_YARDSAFTERCATCH,pff_YARDSAFTERCONTACT,pff_2MINUTE,pff_3MINUTE,pff_BALLCARRIER,pff_BOXPLAYERS,pff_BUNCHED,pff_CENTERPASSBLOCKDIRECTION,pff_CHECKROUTE,pff_CHIPROUTE,pff_DBDEPTH,pff_DEFFRONT,pff_DEFPERSONNEL,pff_DEFPLAYERS,pff_DEFPLAYERSRATINGS,pff_DEFSUBSTITUTIONS,pff_DEFSUCCESS,pff_DEFTEAM,pff_DISTANCE,pff_DLDROP,pff_DLTECHNIQUES,pff_DOUBLETEAM,pff_DRIVEENDEVENT,pff_DRIVEENDFIELDPOSITION,pff_DRIVEENDPLAYNUMBER,pff_DRIVESTARTEVENT,pff_DRIVESTARTFIELDPOSITION,pff_DROPBACKDEPTH,pff_DROPBACKTYPE,pff_FIELDPOSITION,pff_FIRSTCONTACT,pff_FORCEDFUMBLE,pff_FUMBLE,pff_FUMBLERECOVERY,pff_GAINLOSSNET,pff_GUNNERS,pff_HANGTIME,pff_HASH,pff_HASHDEF,pff_HIT,pff_HURRY,pff_INCOMPLETIONTYPE,pff_INJURED,pff_INTERCEPTION,pff_KEYPLAYERS,pff_KICKCONTACT,pff_KICKDEPTH,pff_KICKDIRACTUAL,pff_KICKDIRINTENDED,pff_KICKER,pff_KICKRESULT,pff_KICKTYPE,pff_KICKWIDTH,pff_KICKZONE,pff_LBDEPTH,pff_MISSEDTACKLE,pff_MOFOCPLAYED,pff_MOFOCSHOWN,pff_NEGATIVEPFFGRADE,pff_OFFFORMATION,pff_OFFFORMATIONGROUP,pff_OFFODDITIES,pff_OFFPERSONNEL,pff_OFFPERSONNELBASIC,pff_OFFPERSONNELSKILL,pff_OFFPLAYERS,pff_OFFPLAYERSRATINGS,pff_OFFSUBSTITUTIONS,pff_OFFSUCCESS,pff_OFFTEAM,pff_ONLOS,pff_OPERATIONTIME,pff_PASSBLOCKING,pff_PASSBREAKUP,pff_PASSCOVERAGE,pff_PASSCOVERAGE1,pff_PASSCOVERAGE2,pff_PASSCOVERAGEPLAYERS,pff_PASSDEPTH,pff_PASSDIRECTION,pff_PASSER,pff_PASSPATTERN,pff_PASSPATTERNBASIC,pff_PASSPATTERNBYPLAYER,pff_PASSRECEIVERPOSITIONTARGET,pff_PASSRECEIVERTARGET,pff_PASSRESULT,pff_PASSROUTETARGET,pff_PASSROUTETARGETGROUP,pff_PASSRUSHPLAYERS,pff_PASSRUSHRESULT,pff_PASSWIDTH,pff_PASSZONE,pff_PENALTY,pff_PISTOL,pff_PLAYACTIONFAKE,pff_PLAYENDFIELDPOSITION,pff_POAACTUAL,pff_POACHANGEREASON,pff_POAINTENDED,pff_POSITIVEPFFGRADE,pff_PRESS,pff_PRESSUREDETAIL,pff_PUMPFAKE,pff_PUNTRUSH,pff_PURSUIT,pff_QB,pff_QBMOVEDOFFSPOT,pff_QBPRESSURE,pff_QBPRESSUREALLOWED,pff_QBRESET,pff_QBSCRAMBLE,pff_RBALIGNMENT,pff_RBDEPTH,pff_RBDIRECTION,pff_RBSINBACKFIELD,pff_RETDIRECTIONINTENDED,pff_RETURNDIRECTION,pff_RETURNER,pff_RUNCONCEPTPRIMARY,pff_RUNCONCEPTSECONDARY,pff_RUNPASS,pff_SACK,pff_SCOREDIFFERENTIAL,pff_SHIFTMOTION,pff_SHOTGUN,pff_SPECIALTEAMSTYPE,pff_STOP,pff_STSAFETIES,pff_TACKLE,pff_TACKLEASSIST,pff_TEALIGNMENT,pff_TOUCHDOWN,pff_UNBLOCKEDPRESSURE,pff_VISE,pff_WRALIGNMENT,pff_CONTESTED,pff_RUNPASSOPTION,pff_PLAYCLOCK,pff_HAIL_MARY,pff_BUSTED_COVERAGE,pff_TURNOVER,pff_NON_TACKLE_TYPE,pff_TEMPO,pff_DEF_TIMEOUTS_REMAINING,pff_OFF_TIMEOUTS_REMAINING,pff_EXPECTED_POINTS,pff_EXPECTED_POINTS_ADDED,pff_ROUTE_THROWN,pff_SIDELINE_CHECK,pff_OFF_PERSONNEL_GROUP,pff_RBS_ON_FIELD,pff_TES_ON_FIELD,pff_WRS_ON_FIELD,pff_BACKSET,pff_OFFENSIVE_FORMATION_NAME,pff_STARTING_OFFENSIVE_FORMATION,pff_STARTING_OFFENSIVE_FORMATION_GROUP,pff_STARTING_OFFENSIVE_FORMATION_NAME,pff_DEF_PACKAGE,pff_DBS_ON_FIELD,pff_LBS_ON_FIELD,pff_DLS_ON_FIELD,pff_DEFENSIVE_FRONT_NAME,pff_MUG_LOOK,pff_PASS_COVERAGE_BASIC,pff_KICKOFF_RETURN_CONCEPT,pff_YARDS_TO_GOAL_LINE,pff_FGOPTIME,pff_EXPECTED_POINTS_LEGACY,pff_EXPECTED_POINTS_ADDED_LEGACY,pff_TEAMWORKS_PLAY_ID,pff_DRIVEID
9900001,31030,2026-09-05,2026,01,,,2,,13:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,PAT,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRA POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-05_2_1354_EXTRA_POINT_1,
9900002,31030,2026-09-05,2026,01,,,2,,06:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,PAT,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRA POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-05_2_0650_EXTRA_POINT_2,
9900003,31030,2026-09-05,2026,01,,,3,,01:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,PAT,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRA POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-05_3_0115_EXTRA_POINT_3,
9900004,31155,2026-09-12,2026,02,,,1,,14:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,PAT,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRA POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-12_1_1418_EXTRA_POINT_4,
9900005,31155,2026-09-12,2026,02,,,1,,06:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,PAT,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRA POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-12_1_0659_EXTRA_POINT_5,
9900006,31155,2026-09-12,2026,02,,,2,,05:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,PAT,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRA POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-12_2_0526_EXTRA_POINT_6,
9900007,31155,2026-09-12,2026,02,,,2,,00:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,PAT,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRA POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-12_2_0019_EXTRA_POINT_7,
9900008,31155,2026-09-12,2026,02,,,3,,02:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,PAT,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRA POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-12_3_0239_EXTRA_POINT_8,
9900009,31155,2026-09-12,2026,02,,,1,,03:37,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MISSED,FG,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-12_1_0337_FIELD_GOAL_9,
9900010,31155,2026-09-12,2026,02,,,2,,00:00,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,FG,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-12_2_0000_FIELD_GOAL_10,
9900011,31243,2026-09-19,2026,03,,,1,,02:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,PAT,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXTRA POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-19_1_0212_EXTRA_POINT_11,
9900012,31243,2026-09-19,2026,03,,,1,,07:34,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MISSED,FG,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-19_1_0734_FIELD_GOAL_12,
9900013,31243,2026-09-19,2026,03,,,1,,00:00,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,FG,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-19_1_0000_FIELD_GOAL_13,
9900014,31243,2026-09-19,2026,03,,,3,,07:34,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,FG,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-19_3_0734_FIELD_GOAL_14,
9900015,31243,2026-09-19,2026,03,,,3,,02:53,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAT S41,MADE,FG,,,,,,,,,,,,,,FLAT S41 (PK); FLAT S91 (H); FLAT S45 (PLS),,,,FLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIELD GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFFICIAL_FAU_2026-09-19_3_0253_FIELD_GOAL_15,
